排名,ticker,名称,最新价,涨跌幅,更新时间,涨跌额,昨收价,最高价,最低价,52周高,52周低,成交量,总市值,市盈率
1,NFLX,奈飞,96.24,13.77,2026-02-28 09:47:34,11.65,94.295,96.75,90.58,134.115,75.01,200766960,406340885316.0,2.58
2,ILMN,Illumina,134.46,5.54,2026-02-28 09:45:07,7.06,127.965,134.76,127.0,155.529,68.7,4008707,20545488000.0,5.48
3,ADSK,欧特克,245.87,5.32,2026-02-28 09:30:08,12.42,233.58,248.7,233.3,329.09,215.01,5370879,52124440000.0,5.21
4,FANG,Diamondback Energy,174.08,4.25,2026-02-28 08:40:40,7.1,169.27,174.46,167.45,177.25,111.0,2459322,49542281584.0,5.64
5,INTU,财捷,409.03,3.7,2026-02-28 08:59:49,14.61,384.675,409.63,384.675,811.3,349.0,8184708,113822445306.0,14.72
6,GILD,吉利德,148.95,3.6,2026-02-28 09:03:18,5.18,143.555,150.0,143.37,157.29,91.0,11195856,184799229399.0,6.84
7,MRNA,MRNA,53.57,3.6,2026-02-28 09:30:08,1.86,51.27,53.62,50.73,55.2,22.28,9069701,21156903658.0,-7.26
8,VRTX,福泰制药,496.83,3.48,2026-02-28 09:30:09,16.7,480.31,497.8,479.75,519.68,362.5,1782942,126055126805.0,15.47
9,MRVL,迈威尔科技,81.69,3.03,2026-02-28 09:30:08,2.4,80.03,82.29,78.66,102.71,46.845,20253816,69212663845.0,2.88
10,ORLY,奥莱利,93.88,2.79,2026-02-28 09:48:20,2.55,90.46,94.0,90.22,108.715,85.552,10004204,79137964173.0,2.98
11,CHTR,特许通讯,234.63,2.74,2026-02-28 09:41:16,6.25,228.325,237.83,225.685,437.06,180.38,2144382,29711560341.0,36.98
12,MDLZ,亿滋,61.58,2.74,2026-02-28 09:30:08,1.64,60.08,61.76,59.905,70.15,51.201,12554896,78936056297.0,1.9
13,CPRT,科帕特,38.09,2.53,2026-02-28 08:28:11,0.94,36.96,38.12,36.56,63.85,33.81,10373869,36871793583.0,1.61
14,COST,开市客,1010.79,2.44,2026-02-28 09:41:35,24.05,990.53,1014.19,989.58,1063.1801,842.76,3935004,448658761944.0,18.7
15,VRSK,Verisk Analytics,207.57,2.43,2026-02-28 09:43:02,4.93,201.89,209.49,200.375,321.57,164.6,3469235,28735745452.0,6.5
16,ODFL,Old Dominion Freight Line,203.05,2.36,2026-02-28 09:30:09,4.68,196.335,203.86,195.21,208.74,125.73,3549143,42457437632.0,4.86
17,TMUS,T MOBILE US INC,217.09,2.34,2026-02-28 08:59:05,4.96,213.43,217.36,212.67,273.71,181.36,6916410,239203382226.0,9.73
18,AMGN,安进,388.16,2.33,2026-02-28 09:40:07,8.83,379.29,390.14,378.745,390.14,251.77,3441042,209016657255.0,14.33
19,AZN,阿斯利康,208.45,2.19,2026-02-28 09:48:32,4.47,207.27,209.93,206.95,209.93,56.384,1996353,323294404371.0,6.59
20,BIIB,渤健,191.82,2.02,2026-02-28 09:30:08,3.8,187.51,192.46,186.62,202.41,110.035,1402119,28151220457.0,8.83
21,CEG,CEG,329.88,1.95,2026-02-28 09:14:03,6.32,320.0,330.145,318.6,412.312,160.187,3439503,119512251260.0,7.4
22,CCEP,Coca-Cola European Partners plc Ordinary Shares,110.43,1.92,2026-02-28 07:53:40,2.08,108.94,110.9,108.885,110.9,78.351,1984592,49565662808.0,2.21
23,CSCO,思科,79.46,1.74,2026-02-28 09:01:15,1.36,77.65,79.53,77.07,88.185,50.88,27498011,313858501514.0,2.87
24,HON,霍尼韦尔,243.59,1.63,2026-02-28 09:30:08,3.9,241.38,243.93,240.255,246.0,175.91,3888332,154652175240.0,8.04
25,PCAR,帕卡,126.09,1.62,2026-02-28 09:30:09,2.01,123.09,126.17,122.67,131.545,81.927,5249550,66310029813.0,4.52
26,PYPL,贝宝,46.21,1.49,2026-02-28 09:49:15,0.68,45.81,46.42,45.42,79.36,38.46,23641170,42513200000.0,5.46
27,CTAS,信达思,201.13,1.44,2026-02-28 08:57:25,2.85,198.9,202.9999,196.95,227.89,179.49,2116430,80422836150.0,4.7
28,GOOGL,谷歌A类股,311.76,1.42,2026-02-28 09:30:08,4.38,304.135,312.37,303.8,349.0,139.9,44640640,3771360720000.0,10.91
29,REGN,再生元制药,781.67,1.41,2026-02-28 08:19:55,10.88,760.91,786.68,760.91,820.17,473.787,726380,82638000756.0,43.12
30,GOOG,谷歌,311.43,1.39,2026-02-28 09:30:08,4.28,303.94,312.08,303.5905,350.15,142.03,33389206,3767368710000.0,10.91
31,EXC,爱克斯龙,49.47,1.37,2026-02-28 08:50:46,0.67,48.99,49.875,48.825,49.875,40.905,15389712,50602496179.0,2.74
32,GFS,格芯,47.55,1.34,2026-02-28 08:49:10,0.63,45.9,47.59,45.5,50.98,29.77,2837113,26422665072.0,1.6
33,ADBE,Adobe,262.41,1.3,2026-02-28 09:30:08,3.37,254.02,262.75,253.06,453.26,244.28,5098206,107719305000.0,16.74
34,AEP,美国电力,133.82,1.3,2026-02-28 09:38:45,1.72,132.11,134.5999,132.04,134.5999,94.59,3332559,72378082316.0,6.7
35,PEP,百事可乐,169.74,1.29,2026-02-28 08:49:38,2.16,168.38,170.28,167.82,171.48,123.482,10585145,232092312308.0,6.02
36,CDNS,铿腾电子,301.4,1.28,2026-02-28 09:41:01,3.8,288.74,301.9,285.14,376.445,221.56,3534996,82041381701.0,4.09
